	TN	FN	region	rangeInf	rangeSupp	VPN	confint95a	confint95b
(-1.56e+05,-1.15e+05]	398	0	intron3p	-1000000	-114861	0	0	0,009225721
(-1.15e+05,-9.2e+04]	400	0	intron3p	-114861	-92041	0	0	0,009179805
(-9.2e+04,-7.69e+04]	400	0	intron3p	-92041	-76916	0	0	0,009179805
(-7.69e+04,-6.51e+04]	407	0	intron3p	-76916	-65139	0	0	0,009022635
(-6.51e+04,-5.76e+04]	393	0	intron3p	-65139	-57645	0	0	0,009342546
(-5.76e+04,-5.05e+04]	400	0	intron3p	-57645	-50450	0	0	0,009179805
(-5.05e+04,-4.47e+04]	401	0	intron3p	-50450	-44714	0	0	0,009157017
(-4.47e+04,-3.98e+04]	400	0	intron3p	-44714	-39822	0	0	0,009179805
(-3.98e+04,-3.52e+04]	399	0	intron3p	-39822	-35240	0	0	0,009202705
(-3.52e+04,-3.19e+04]	400	0	intron3p	-35240	-31869	0	0	0,009179805
(-3.19e+04,-2.94e+04]	400	0	intron3p	-31869	-29413	0	0	0,009179805
(-2.94e+04,-2.74e+04]	401	0	intron3p	-29413	-27394	0	0	0,009157017
(-2.74e+04,-2.55e+04]	401	0	intron3p	-27394	-25541	0	0	0,009157017
(-2.55e+04,-2.38e+04]	400	0	intron3p	-25541	-23755	0	0	0,009179805
(-2.38e+04,-2.23e+04]	398	0	intron3p	-23755	-22334	0	0	0,009225721
(-2.23e+04,-2.1e+04]	400	0	intron3p	-22334	-21024	0	0	0,009179805
(-2.1e+04,-1.98e+04]	400	0	intron3p	-21024	-19770	0	0	0,009179805
(-1.98e+04,-1.86e+04]	400	0	intron3p	-19770	-18622	0	0	0,009179805
(-1.86e+04,-1.74e+04]	400	0	intron3p	-18622	-17428	0	0	0,009179805
(-1.74e+04,-1.66e+04]	400	0	intron3p	-17428	-16587	0	0	0,009179805
(-1.66e+04,-1.57e+04]	400	0	intron3p	-16587	-15706	0	0	0,009179805
(-1.57e+04,-1.5e+04]	400	1	intron3p	-15706	-14987	0,002493766	6,31E-05	0,013815429
(-1.5e+04,-1.43e+04]	400	0	intron3p	-14987	-14270	0	0	0,009179805
(-1.43e+04,-1.36e+04]	400	0	intron3p	-14270	-13595	0	0	0,009179805
(-1.36e+04,-1.29e+04]	399	0	intron3p	-13595	-12860	0	0	0,009202705
(-1.29e+04,-1.23e+04]	401	0	intron3p	-12860	-12313	0	0	0,009157017
(-1.23e+04,-1.17e+04]	399	0	intron3p	-12313	-11709	0	0	0,009202705
(-1.17e+04,-1.11e+04]	400	0	intron3p	-11709	-11109	0	0	0,009179805
(-1.11e+04,-1.06e+04]	401	0	intron3p	-11109	-10620	0	0	0,009157017
(-1.06e+04,-1.01e+04]	399	0	intron3p	-10620	-10144	0	0	0,009202705
(-1.01e+04,-9.69e+03]	401	0	intron3p	-10144	-9692	0	0	0,009157017
(-9.69e+03,-9.26e+03]	399	1	intron3p	-9692	-9263	0,0025	6,33E-05	0,01384977
(-9.26e+03,-8.83e+03]	399	0	intron3p	-9263	-8826	0	0	0,009202705
(-8.83e+03,-8.45e+03]	401	0	intron3p	-8826	-8446	0	0	0,009157017
(-8.45e+03,-8.05e+03]	399	0	intron3p	-8446	-8053	0	0	0,009202705
(-8.05e+03,-7.75e+03]	401	0	intron3p	-8053	-7748	0	0	0,009157017
(-7.75e+03,-7.41e+03]	397	2	intron3p	-7748	-7406	0,005012531	0,000607618	0,017988823
(-7.41e+03,-7.08e+03]	400	0	intron3p	-7406	-7079	0	0	0,009179805
(-7.08e+03,-6.74e+03]	407	0	intron3p	-7079	-6743	0	0	0,009022635
(-6.74e+03,-6.45e+03]	395	0	intron3p	-6743	-6450	0	0	0,009295463
(-6.45e+03,-6.17e+03]	398	0	intron3p	-6450	-6170	0	0	0,009225721
(-6.17e+03,-5.92e+03]	403	0	intron3p	-6170	-5918	0	0	0,009111781
(-5.92e+03,-5.67e+03]	397	1	intron3p	-5918	-5673	0,002512563	6,36E-05	0,013918967
(-5.67e+03,-5.41e+03]	400	0	intron3p	-5673	-5411	0	0	0,009179805
(-5.41e+03,-5.18e+03]	399	0	intron3p	-5411	-5176	0	0	0,009202705
(-5.18e+03,-4.96e+03]	400	0	intron3p	-5176	-4964	0	0	0,009179805
(-4.96e+03,-4.76e+03]	401	0	intron3p	-4964	-4760	0	0	0,009157017
(-4.76e+03,-4.55e+03]	399	0	intron3p	-4760	-4554	0	0	0,009202705
(-4.55e+03,-4.34e+03]	400	0	intron3p	-4554	-4343	0	0	0,009179805
(-4.34e+03,-4.15e+03]	400	0	intron3p	-4343	-4153	0	0	0,009179805
(-4.15e+03,-3.97e+03]	401	0	intron3p	-4153	-3974	0	0	0,009157017
(-3.97e+03,-3.83e+03]	402	0	intron3p	-3974	-3826	0	0	0,009134343
(-3.83e+03,-3.66e+03]	400	0	intron3p	-3826	-3662	0	0	0,009179805
