idClass	midClass	minScore	maxScore	nPos	nTot	propPos	confint95a	confint95b	score
1	0	0	0	34	89	0,382022472	0,28794757	0,48586072	BP
2	-3,823555153	-10	-2,365439106	101	300	0,337792642	0,284356791	0,39448056	ESR
3	-2,099839596	-2,365439106	-1,834240087	72	300	0,24	0,192785389	0,292430848	ESR
4	-1,635006693	-1,834240087	-1,435773299	60	300	0,2	0,156231301	0,249804402	ESR
5	-1,26617066	-1,435773299	-1,096568021	68	300	0,226666667	0,180530817	0,278290845	ESR
6	-0,95400534	-1,096568021	-0,811442659	53	300	0,176666667	0,135225617	0,224626887	ESR
7	-0,681322041	-0,811442659	-0,551201422	46	300	0,153333333	0,114498081	0,199177048	ESR
8	-0,424585777	-0,551201422	-0,297970132	41	300	0,136666667	0,099891234	0,180804925	ESR
9	-0,186759733	-0,297970132	-0,075549334	42	300	0,14	0,102798	0,18449356	ESR
10	0,013102619	-0,075549334	0,101754571	69	300	0,23	0,18358822	0,281831997	ESR
11	0,219525158	0,101754571	0,337295745	41	300	0,136666667	0,099891234	0,180804925	ESR
12	0,469760795	0,337295745	0,602225845	37	300	0,123333333	0,088344195	0,165972702	ESR
13	0,754883301	0,602225845	0,907540757	26	300	0,086666667	0,057394833	0,124407363	ESR
14	1,126752295	0,907540757	1,345963833	14	300	0,046666667	0,025744649	0,077059838	ESR
15	1,611050611	1,345963833	1,87613739	6	300	0,02	0,007374162	0,043021083	ESR
16	2,862153575	1,87613739	3,848169759	8	306	0,026666667	0,011581568	0,051865812	ESR
1	0,005137989	0	0,010275979	2	93	0,021505376	0,002615095	0,075532972	SPiCE
2	0,018567989	0,010275979	0,02686	4	111	0,036036036	0,009904366	0,089699891	SPiCE
3	0,054753298	0,02686	0,082646595	3	89	0,033707865	0,007006057	0,095361566	SPiCE
4	0,26193181	0,082646595	0,441217024	24	100	0,24	0,160224613	0,335735489	SPiCE
5	0,663887198	0,441217024	0,886557373	66	100	0,66	0,558466732	0,751776498	SPiCE
6	0,939633472	0,886557373	0,992709571	90	100	0,9	0,823777402	0,950995311	SPiCE
7	0,99590244	0,992709571	0,999095308	97	100	0,97	0,914823947	0,993770028	SPiCE
8	0,999459973	0,999095308	0,999824638	99	100	0,99	0,945540615	0,999746854	SPiCE
9	0,999892319	0,999824638	0,99996	106	109	0,972477064	0,921669872	0,994287743	SPiCE
10	0,99997	0,99996	0,99998	129	129	1	0,97180903	1	SPiCE
11	0,999985	0,99998	0,99999	175	175	1	0,979141305	1	SPiCE
12	0,999995	0,99999	1	274	279	0,982078853	0,958675856	0,994156084	SPiCE
1	-2,73088334	-10	-0,378185466	27	29	0,931034483	0,77233811	0,991536038	MES
2	-0,276522006	-0,378185466	-0,174858545	20	30	0,666666667	0,471879955	0,827125778	MES
3	-0,137253077	-0,174858545	-0,099647609	8	30	0,266666667	0,12279481	0,458893651	MES
4	-0,07761278	-0,099647609	-0,055577951	6	30	0,2	0,077135512	0,385666511	MES
5	-0,038670841	-0,055577951	-0,021763732	2	30	0,066666667	0,008178134	0,220735402	MES
6	-0,012270913	-0,021763732	-0,002778095	0	30	0	0	0,115703308	MES
7	0,007003749	-0,002778095	0,016785592	2	30	0,066666667	0,008178134	0,220735402	MES
8	0,037063161	0,016785592	0,05734073	1	30	0,033333333	0,000843571	0,172169456	MES
9	0,084120416	0,05734073	0,110900102	0	30	0	0	0,115703308	MES
10	0,174053853	0,110900102	0,237207604	2	30	0,066666667	0,008178134	0,220735402	MES
11	0,833727163	0,237207604	1,430246722	4	10	0,4	0,121552258	0,737621923	MES
1	3,57E-14	0	7,14E-14	0	1	0	0	0,975	cryptic
2	1,84E-10	7,14E-14	3,67E-10	9	149	0,060402685	0,027989078	0,111564847	cryptic
3	1,43E-09	3,67E-10	2,50E-09	11	152	0,072368421	0,036677892	0,125796646	cryptic
4	4,77E-09	2,50E-09	7,05E-09	11	148	0,074324324	0,03768498	0,129094304	cryptic
5	1,08E-08	7,05E-09	1,46E-08	10	151	0,066225166	0,032211848	0,118417104	cryptic
6	2,09E-08	1,46E-08	2,73E-08	15	149	0,100671141	0,057448029	0,160602446	cryptic
7	3,60E-08	2,73E-08	4,47E-08	17	151	0,112582781	0,066967962	0,174129116	cryptic
8	6,19E-08	4,47E-08	7,92E-08	23	149	0,154362416	0,100439764	0,222562681	cryptic
9	1,02E-07	7,92E-08	1,25E-07	15	155	0,096774194	0,055181546	0,154588531	cryptic
10	1,55E-07	1,25E-07	1,86E-07	15	145	0,103448276	0,059065413	0,164878213	cryptic
11	2,31E-07	1,86E-07	2,77E-07	17	151	0,112582781	0,066967962	0,174129116	cryptic
12	3,45E-07	2,77E-07	4,13E-07	16	149	0,10738255	0,062636854	0,168520835	cryptic
13	5,04E-07	4,13E-07	5,95E-07	12	151	0,079470199	0,041737342	0,134703464	cryptic
14	7,53E-07	5,95E-07	9,11E-07	13	149	0,087248322	0,047276019	0,144575946	cryptic
15	1,10E-06	9,11E-07	1,30E-06	18	150	0,12	0,072693467	0,183008877	cryptic
16	1,56E-06	1,30E-06	1,83E-06	15	151	0,099337748	0,056672118	0,15854655	cryptic
17	2,17E-06	1,83E-06	2,51E-06	15	150	0,1	0,057057435	0,159567885	cryptic
18	2,96E-06	2,51E-06	3,40E-06	15	149	0,100671141	0,057448029	0,160602446	cryptic
19	4,00E-06	3,40E-06	4,61E-06	16	150	0,106666667	0,062210574	0,167436339	cryptic
